position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,14,11,2,1,29,11,18,35
2,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,14,8,4,2,31,15,16,28
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,14,8,4,2,28,14,14,28
4,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,14,8,2,4,25,19,6,26
5,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,14,6,5,3,23,20,3,23
6,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,14,6,4,4,21,19,2,22
7,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,14,6,4,4,16,16,0,22
8,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,14,6,4,4,22,23,-1,22
9,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,14,6,3,5,21,19,2,21
10,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,14,6,2,6,28,15,13,20
11,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,14,6,2,6,27,26,1,20
12,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,14,5,5,4,17,17,0,20
13,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,14,5,4,5,17,15,2,19
14,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,14,4,3,7,18,27,-9,15
15,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,14,3,5,6,14,21,-7,14
16,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,14,3,4,7,19,28,-9,13
17,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,14,2,6,6,12,18,-6,12
18,https://resources.premierleague.com/premierleague25/badges/40.svg,Ipswich Town,14,1,6,7,13,25,-12,9
19,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,14,2,3,9,22,36,-14,9
20,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,14,1,2,11,11,30,-19,5
