club_name,club_url,season,Games Played,Goals,Goals Conceded,XG,Shots,Shots On Target,Shots On Target Inside the Box,Shots On Target Outside the Box,Touches in the Opposition Box,penalties,penalties_scored,Free Kicks Scored,Hit Woodwork,crosses,cross_accuracy,Interceptions,Blocks,Clearances,Passes,long_passes,long_pass_accuracy,Corners Taken,dribble_attempts,dribble_accuracy,Duels Won,Aerial Duels Won,Red Cards,Yellow Cards,Fouls,Offsides,Own Goals,penalties_saved,penalty_save_precentage,free_kicks_taken,free_kicks_scored,Penalties Taken
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2024/2025,38,69,34,61.59,376,188,213,86,1379,2,2,10,12,491,20,225,106,646,18619,1361,46,251,636,50,1794,481,6,64,401,80,2,0,0,0,0,0
Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/stats,2024/2025,38,58,51,57.31,340,170,168,80,1014,6,3,12,16,381,19,240,107,728,16508,1436,47,232,627,52,1841,386,4,72,406,55,2,1,33,0,0,0
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/stats,2024/2025,38,58,46,64.97,404,202,196,110,1081,7,6,0,23,594,23,351,136,986,15154,2112,42,229,595,49,1958,581,3,97,525,70,1,0,0,10,1,0
Brentford,https://www.premierleague.com/en/clubs/94/brentford/stats,2024/2025,38,66,57,60.19,368,184,167,60,1032,6,5,10,10,478,24,285,199,1004,15632,2043,47,175,558,47,1861,632,1,62,320,63,1,0,0,0,0,0
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2024/2025,38,66,59,59.21,382,191,170,109,1154,7,7,0,13,493,23,315,122,748,17704,1667,48,189,721,47,1972,527,3,76,438,46,2,0,0,25,2,0
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2024/2025,38,64,43,69.19,436,218,206,121,1196,5,4,0,21,463,22,272,103,654,19796,1788,46,236,662,49,1760,409,2,99,436,65,3,1,17,17,2,0
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2024/2025,38,51,51,61.35,372,186,182,101,838,4,3,0,13,423,22,334,144,1041,14340,2075,38,172,450,46,1890,521,4,74,417,74,2,1,50,19,1,0
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2024/2025,38,42,44,42.38,288,144,140,69,775,2,2,0,10,485,24,345,138,1051,13351,2180,46,156,588,48,2013,627,2,80,430,81,3,2,100,11,1,0
Fulham,https://www.premierleague.com/en/clubs/54/fulham/stats,2024/2025,38,54,54,49.88,346,173,188,84,988,4,3,10,8,671,24,302,113,887,18013,1889,49,205,542,53,1859,545,2,81,432,43,1,1,25,0,0,0
Ipswich Town,https://www.premierleague.com/en/clubs/40/ipswich-town/stats,2024/2025,38,36,82,34.73,254,127,121,82,646,2,2,10,9,337,20,303,185,1069,13462,1737,41,145,567,49,1822,564,5,85,430,52,1,0,0,0,0,0
Leicester City,https://www.premierleague.com/en/clubs/13/leicester-city/stats,2024/2025,38,33,80,32.75,222,111,113,58,662,3,2,8,10,449,20,327,198,954,15960,1825,38,141,569,46,1888,513,0,87,420,63,0,1,25,0,0,0
Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/stats,2024/2025,38,86,41,83.46,462,231,230,96,1425,9,9,11,22,474,22,299,97,693,20108,1784,47,253,611,49,1708,409,3,65,430,60,1,1,50,0,0,0
Manchester City,https://www.premierleague.com/en/clubs/43/manchester-city/stats,2024/2025,38,72,44,69.16,434,217,183,137,1432,4,3,0,18,447,21,229,89,587,22973,1369,57,253,678,56,1567,313,2,57,287,45,1,0,0,21,1,0
Manchester United,https://www.premierleague.com/en/clubs/1/manchester-united/stats,2024/2025,38,44,54,53.46,350,175,194,109,1035,4,4,0,15,435,22,358,107,725,18922,1859,46,200,575,44,1926,495,3,84,403,69,2,1,25,15,2,0
Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/stats,2024/2025,38,68,47,65.36,350,175,182,80,1160,6,5,14,14,489,21,270,141,826,17172,1575,43,218,580,49,1822,501,1,68,394,71,2,1,50,0,0,0
Nottingham Forest,https://www.premierleague.com/en/clubs/17/nottingham-forest/stats,2024/2025,38,58,46,46.51,332,166,141,93,834,3,3,15,9,419,21,322,157,1183,12956,1871,41,160,492,53,1946,578,2,86,401,91,1,0,0,0,0,0
Southampton,https://www.premierleague.com/en/clubs/20/southampton/stats,2024/2025,38,26,86,33.22,222,111,149,64,728,0,0,7,13,364,20,305,201,953,17299,1656,44,152,645,48,1855,474,3,89,459,49,1,2,22,0,0,2
Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/stats,2024/2025,38,64,65,59.7,370,185,181,83,1074,4,3,0,15,532,20,322,159,775,18248,1334,44,243,733,42,1874,428,1,70,446,63,3,0,0,13,1,0
West Ham United,https://www.premierleague.com/en/clubs/21/west-ham-united/stats,2024/2025,38,46,62,48.14,292,146,170,80,882,3,3,0,17,435,21,331,169,998,16891,2003,45,154,707,49,1986,594,3,78,443,73,3,0,0,14,1,0
Wolverhampton Wanderers,https://www.premierleague.com/en/clubs/39/wolverhampton-wanderers/stats,2024/2025,38,54,69,44.18,320,160,133,84,771,0,0,0,11,403,23,298,137,902,16402,1915,43,148,639,51,2001,455,2,75,480,62,1,2,22,18,1,0
