player_name,Nationality,Preferred Foot,Date of Birth,appearances_,sub_appearances,XA,pass_attempts,pass_accuracy,long_pass_attempts,long_pass_accuracy,Minutes Played,Duels Won,Total Tackles,Interceptions,Blocks,Red Cards,Yellow Cards,XG,Touches in the Opposition Box,Aerial Duels Won,Assists,Shots On Target Inside the Box,cross_attempts,cross_accuracy,dribble_attempts,dribble_accuracy,Fouls,Goals,Hit Woodwork,Offsides,Shots On Target Outside the Box,Corners Taken,Appearances,free_kick_attempts,free_kicks_scored,Passes,Own Goals,Penalties Taken,Goals Conceded,Clean Sheets,Saves Made,Penalties Faced,penalty_attempts,penalties_scored,penalties_saved,penalty_save_precentage
Max Aarons,England,Right,04/01/2000,3,2,0.02,51,80,5,60,85,4,2,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Abbott,England,Right,17/08/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Abbott,England,Right,13/05/2006,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Acheampong,England,Right,05/05/2006,4,2,0.02,123,84,14,29,169,5,2,1,0,0,1,0.22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ché Adams,England,n/a,13/07/1996,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Adams,United States,Right,14/02/1999,28,7,0.76,1056,85,64,30,1965,139,83,32,10,0,7,1.59,18,31,3,5,3,33,14,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosin Adarabioyo,England,Right,24/09/1997,22,7,0.22,1177,91,90,47,1404,72,17,11,7,0,4,0.93,14,42,1,5,0,0,5,80,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayo Adaramola,Ireland,Left,14/11/2003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valintino Adedokun,Ireland,n/a,14/02/2003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Adingra,Cote d’Ivoire,Right,01/01/2002,29,17,2.79,332,82,12,42,1091,55,23,8,0,0,0,2.46,79,7,2,13,41,24,48,44,13,2,1,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Adu-Adjei,England,Right,21/06/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Agbadou,Cote d’Ivoire,Right,17/06/1997,0,0,0.32,996,86,147,52,1411,70,30,12,13,0,3,0.85,7,26,0,0,0,0,12,83,7,1,0,1,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0
Asher Agbinone,England,Right,28/09/2005,2,2,0.01,0,0,0,0,4,2,2,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Nayef Aguerd,Morocco,Left,30/03/1996,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Aguilera,Costa Rica,Left,28/06/2003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gassan Ahadme,Morocco,Right,17/11/2000,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naouirou Ahamada,France,Right,29/03/2002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ola Aina,Nigeria,Right,08/10/1996,0,0,2.22,1027,80,89,31,3003,136,55,33,12,0,5,0.64,22,13,1,0,59,22,60,55,23,2,0,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Damola Ajayi,England,Right,27/12/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristoffer Ajer,Norway,Right,17/04/1998,24,7,0.5,558,78,45,44,1441,66,26,12,4,0,5,0.96,39,28,0,7,14,29,15,47,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romeo Akachukwu,Ireland,Right,28/07/2006,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Akanji,Switzerland,Right,19/07/1995,26,3,1.28,1722,94,84,68,2014,60,19,9,8,0,3,1.55,19,31,0,0,11,27,0,0,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yunus Akgün,Turkey,Left,07/07/2000,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matai Akinmboni,United States,Left,17/10/2006,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Aké,Netherlands,Left,18/02/1995,10,2,0.17,532,94,26,46,682,23,9,3,2,0,0,0.22,5,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Al-Hamadi,Iraq,Right,01/03/2002,11,11,0.05,30,83,0,0,125,13,1,0,0,0,3,0.35,11,5,0,0,0,0,7,57,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Albrighton,England,n/a,18/11/1989,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,Argentina,Right,30/11/2002,16,9,0.03,271,83,24,67,770,47,11,6,2,0,4,0.07,22,15,3,0,8,50,18,50,14,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Alcântara,Spain,Right,11/04/1991,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,England,Right,07/10/1998,33,5,7.37,1616,78,299,42,2377,101,72,31,9,0,5,1.88,50,3,6,9,93,25,34,50,11,3,3,1,14,55,0,3,3,0,0,0,0,0,0,0,0,0,0,0
Farid Alfa-Ruprecht,Germany,Right,28/03/2006,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonny Aljofree,England,n/a,19/12/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Alleyne,England,Both,21/07/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dele Alli,England,n/a,11/04/1996,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Almirón,Paraguay,Both,10/02/1994,9,8,0.2,64,83,2,50,151,7,3,0,0,0,0,0.52,9,0,0,3,0,0,2,50,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sone Aluko,Nigeria,n/a,19/02/1989,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olabade Aluko,England,Right,30/11/2006,1,1,0.0,5,60,0,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Alves,England,Right,04/05/2005,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Carlos Vinícius,Brazil,Left,25/03/1995,3,3,0.0,3,33,0,0,13,3,0,0,0,0,0,0.04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cédric Soares,Portugal,Right,31/08/1991,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Alzate,Colombia,Right,08/09/1998,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Amass,England,Left,16/03/2007,5,1,0.07,143,87,0,0,346,20,6,2,1,0,0,0.07,5,7,0,0,0,0,7,43,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Amissah,England,Both,07/03/2007,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Amo-Ameyaw,England,Left,18/07/2006,2,2,0.13,0,0,0,0,26,3,1,0,0,0,1,0.02,2,0,0,0,2,50,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Mathis Amougou,France,Right,18/01/2006,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Ato Ampah,England,Right,22/04/2006,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofyan Amrabat,Morocco,Right,21/08/1996,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Anang,England,n/a,08/06/2000,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joachim Andersen,Denmark,Right,31/05/1996,0,0,0.52,2054,83,444,47,2663,123,28,34,28,1,7,1.02,22,76,0,9,13,23,5,80,20,0,0,0,2,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0
Elliot Anderson,England,Right,06/11/2002,37,4,3.63,1289,82,106,42,2742,242,92,31,9,0,10,2.11,80,57,6,15,35,6,66,55,49,2,0,4,10,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Angelini,Scotland,n/a,12/09/2003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tino Anjorin,England,n/a,23/11/2001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aarón Anselmino,Argentina,Right,29/04/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaidon Anthony,England,Right,01/12/1999,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,Jamaica,Right,28/03/1990,14,3,0.93,154,71,22,77,844,35,2,0,0,0,1,2.22,37,17,1,8,25,8,22,41,12,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genesis Antwi,Sweden,Right,11/05/2007,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
